id_bien;id_codedep_codecommune;numero_voie;btq;type_voie;nom_voie;surface_carrez;type_local;surface_local;total_piece
20864;30133;169;;RUE;D ESTIENNE D ORVES;34,07;Appartement;50;3
20865;30133;2;;RUE;AMIRAL DE GRASSE;49,27;Appartement;53;4
20866;30133;18;;RTE;DES MARINES;34,00;Appartement;31;2
20867;30189;190;;AV;SAINT ANDRE DE CODOLS;50,14;Appartement;49;2
20868;30189;9;;RUE;DUMONT D URVILLE;74,78;Appartement;77;3
20869;30189;2;;RUE;DE L HORLOGE;19,60;Appartement;20;1
20870;30334;2;;RUE;DES CAPUCINS;13,24;Appartement;14;1
20871;31462;9001;;ALL;DE CHARLARY;32,43;Appartement;32;1
20872;31488;6;;RUE;RIMBAUD;27,67;Appartement;27;1
20873;31555;22;;RUE;CUJAS;63,06;Appartement;49;3
20874;31555;3;;RUE;LAFAILLE;57,59;Appartement;57;3
20875;32013;3;;ALL;JOSEPH GESTA;39,00;Appartement;39;2
20876;33009;219;;BD;DE LA PLAGE;24,35;Appartement;121;4
20877;33009;47;;AV;GAMBETTA;27,31;Appartement;28;2
20878;33009;16;;AV;ST DOMINIQUE;42,85;Appartement;47;2
20879;33039;10;;RUE;RENE DUMONT;67,62;Appartement;63;3
20880;33063;47;;RUE;DE SAGET;45,55;Appartement;40;2
20881;33063;29;;RUE;GOUAIS LANOS;21,52;Appartement;21;1
20882;33063;11;;RUE;PARL STE CATHERINE;23,40;Appartement;28;1
20883;33063;162;;AV;EYSINES CAUD;62,00;Appartement;60;3
20884;33075;2;;RUE;COMMANDERIE  DES TEMPLIERS;46,89;Appartement;47;2
20885;33119;13;;RUE;ARISTIDE BRIAND;23,84;Appartement;24;1
20886;33140;5000;;PARC;DE LA VERRERIE;80,04;Maison;79;4
20887;33162;25;;AV;DE PICOT;30,91;Appartement;32;2
20888;33192;13;;CRS;DU GENERAL DE GAULLE;78,17;Appartement;72;4
20889;33227;12;B;CRS;DU GENERAL LECLERC;70,73;Appartement;66;3
20890;33249;6;;RUE;HIPPOLYTE GOURDON;81,31;Maison;80;4
20891;33281;9001;;RUE;ROBERT BALLION;82,18;Appartement;90;5
20892;33318;32;;RUE;SOCRATE;48,16;Appartement;50;2
20893;33318;739;;CRS;DE LA LIBERATION;32,57;Appartement;32;2
20894;33522;9;B;RUE;DANTON;122,15;Maison;115;4
20895;33522;9001;;RES;CRESPY II;107,02;Appartement;103;6
20896;34003;5;;RUE;DANIEL RICHAUD;110,69;Maison;145;5
20897;34003;1;;IMP;DE LA BRIGANTINE;38,87;Appartement;39;2
20898;34145;36;;IMP;DU FORGERON;96,80;Maison;94;6
20899;34150;67;;AV;DE LA MEDITERRANEE;119,51;Appartement;110;3
20900;34301;350;;BD;CERF LURIE;39,88;Appartement;39;2
20901;35238;17;;AV;SIR WINSTON CHURCHILL;70,09;Appartement;72;4
20902;35240;2;D;AV;CHARLES TILLON;48,35;Appartement;49;2
20903;35288;18;;RUE;DE DINAN;46,62;Appartement;48;1
20904;35288;5;;RUE;DE L ORME;21,13;Appartement;25;1
20905;35363;92;;RTE;DE NANTES;31,19;Appartement;40;3
20906;37122;101;;RUE;DE SAINT LEGER;84,34;Maison;82;4
20907;38158;1;;RUE;JULIEN OFFRAY  LA METTRIE;102,10;Appartement;102;5
20908;38185;4;;RUE;DUPLOYE;19,48;Appartement;18;1
20909;38239;5549;A;AV;DE CHAMPLONG;85,17;Appartement;76;4
20910;38279;229;;RUE;DE LA TOUCHE;89,26;Maison;89;4
20911;38382;19;;RUE;CASIMIR BRENIER;66,03;Appartement;66;4
20912;38565;129;D;ALL;DE BEAUREGARD;83,05;Appartement;82;4
20913;40065;10;;AV;DU MARECHAL LECLERC;66,42;Appartement;62;3
20914;40088;61;;AV;DE L AERODROME;62,90;Appartement;60;3
20915;40192;6;;RUE;LEON LALANNE;49,95;Appartement;46;2
20916;40296;9001;;RES;LES CORMORANS;58,11;Appartement;47;4
20917;40304;76;;AV;DES PINS TRANQUILLES;37,23;Appartement;38;2
20918;42207;21;;RUE;DE LA BROSSE;106,50;Appartement;102;5
20919;42218;7;;RUE;DESFLACHES;37,50;Appartement;37;1
20920;42237;8;;RUE;DES EGLANTINES;66,50;Appartement;64;3
20921;43157;13;;AV;DES BELGES;80,25;Appartement;82;3
20922;43262;5087;;RUE;DE COMBEVIGNOUSE;49,13;Appartement;48;4
20923;44049;7501;;PL;DU TREHIC;29,62;Appartement;29;1
20924;44055;35;;BD;DE L OCEAN;67,90;Appartement;33;1
20925;44109;2;;ALL;BEAU RIVAGE;85,77;Appartement;86;4
20926;44109;17;;BD;VINCENT GACHE;62,90;Appartement;62;3
20927;44109;1;;QUAI;TURENNE;83,13;Appartement;87;3
20928;44109;24;;RUE;DES ROSES;38,19;Appartement;36;2
20929;44109;44;;RUE;JEAN POULAIN;26,37;Appartement;25;1
20930;44154;16;;CHE;DE LA BRIDELAIS;29,89;Maison;30;2
20931;44162;1;;ALL;FRANCOIS COUPERIN;79,13;Appartement;99;5
20932;44162;63;;AV;DES GRANDS BOIS;106,23;Maison;106;4
20933;44162;12;;BD;DU TERTRE;70,91;Appartement;71;3
20934;44183;2;B;RTE;DE LA TURBALLE;73,95;Maison;76;3
20935;45203;1;;RUE;DE BASMONT;55,68;Appartement;56;3
20936;45232;13;;RUE;DE LA MARNE;122,50;Maison;118;5
20937;45252;4;;RUE;DU CAPITAINE GIRY;91,20;Appartement;58;3
20938;45285;2;;RUE;DE LA PRAIRIE;60,92;Appartement;60;3
20939;47323;3;;RUE;DES JARDINS;67,38;Appartement;70;3
20940;48095;5;;BD;THEOPHILE ROUSSEL;117,77;Appartement;116;5
20941;49007;8;;RUE;BOISNET;27,10;Appartement;63;3
20942;49007;17;B;RUE;CHEF DE VILLE;46,33;Appartement;46;2
20943;49015;31;;AV;PIERRE MENDES FRANCE;42,73;Appartement;42;2
20944;50403;79;;RES;LES MAISONS DE LA PLAGE;40,55;Maison;41;3
20945;51454;44;;RUE;DU CHAMP DE MARS;76,62;Appartement;75;5
20946;54323;21;;RUE;CARNOT;56,02;Appartement;55;3
20947;54323;8;;RUE;PIERRE ALBERT LABRO;105,35;Appartement;108;5
20948;54382;3;;RUE;DE LA VIGNE;55,70;Appartement;61;2
20949;54395;17;;RUE;DE LA COMMANDERIE;36,36;Appartement;36;2
20950;54395;32;B;RUE;RAYMOND POINCARE;60,22;Appartement;61;2
20951;56034;28;;AV;DE KERMARIO;37,08;Appartement;39;2
20952;56078;6874;;RES;LES GWENANS;24,76;Appartement;19;1
20953;56181;12;;PROM;HENRI FRANCOIS BUFFET;25,58;Appartement;26;1
20954;59009;14;;RUE;DE L'ABBE BONPAIN;75,27;Appartement;78;5
20955;59178;944;;BD;DE LA REPUBLIQUE;18,60;Appartement;18;1
20956;59286;64;;RUE;SADI CARNOT;83,51;Appartement;90;3
20957;59360;9010;;RES;LAENNEC;35,02;Appartement;36;1
20958;59368;3;;RUE;FONTAINE;33,99;Appartement;33;2
20959;59457;15;;RUE;DU GENERAL LECLERC;73,00;Appartement;68;4
